Tag señal,Origen,Locación,Lazo,Lazo típico,Servicio,Descripción,P&ID,Inf,Sup,Set Al,Un Ing,Tipo de I/O,Tipo de señal,destino,Controlador,HMI,Interbloqueos,Log de eventos,Tendencia,Histórico,Notas
LI-010,LIT-010,FLD,L-010,Sup_Analoga,TANQUE DE HOMOGENIZACION TK-008,INDICACION DE NIVEL,A2-2008-HD018,HOLD,HOLD,,HOLD,AI,4-20 mA,JBI-007,PLC-002,EST-001,,NO,SI,SI,
LAL-010,LIT-010,FLD,L-010,Sup_Analoga,TANQUE DE HOMOGENIZACION TK-008,ALARMA POR BAJO NIVEL,A2-2008-HD018,,,HOLD,HOLD,S,,NA,NA,NA,I-31/32/33,SI,NO,NO,
LAH-010,LIT-010,FLD,L-010,Sup_Analoga,TANQUE DE HOMOGENIZACION TK-008,ALARMA POR ALTO NIVEL,A2-2008-HD018,,,HOLD,HOLD,S,,NA,NA,NA,I-31/32/33,SI,NO,NO,
LI-015,LIT-015,FLD,L-015,Sup_Analoga,TANQUE DE ALMACENAMIENTO DE AGUA TK-010,INDICACION DE NIVEL,A2-2008-HD022-01,HOLD,HOLD,,HOLD,AI,4-20 mA,JBI-003,PLC-001,EST-001,,NO,SI,SI,
LAH-015,LIT-015,FLD,L-015,Sup_Analoga,TANQUE DE ALMACENAMIENTO DE AGUA TK-010,ALARMA POR BAJO NIVEL,A2-2008-HD022-01,,,HOLD,HOLD,S,,NA,NA,NA,,SI,NO,NO,
LAL-015,LIT-015,FLD,L-015,Sup_Analoga,TANQUE DE ALMACENAMIENTO DE AGUA TK-010,ALARMA POR ALTO NIVEL,A2-2008-HD022-01,,,HOLD,HOLD,S,,NA,NA,NA,I-39/40,SI,NO,NO,
LI-016,LIT-016,FLD,L-016,Sup_Analoga,TANQUE DE ALMACENAMIENTO DE AGUA TK-011,INDICACION DE NIVEL,A2-2008-HD022-01,HOLD,HOLD,,HOLD,AI,4-20 mA,JBI-003,PLC-001,EST-001,,NO,SI,SI,
LAH-016,LIT-016,FLD,L-016,Sup_Analoga,TANQUE DE ALMACENAMIENTO DE AGUA TK-011,ALARMA POR BAJO NIVEL,A2-2008-HD022-01,,,HOLD,HOLD,S,,NA,NA,NA,,SI,NO,NO,
LAL-016,LIT-016,FLD,L-016,Sup_Analoga,TANQUE DE ALMACENAMIENTO DE AGUA TK-011,ALARMA POR ALTO NIVEL,A2-2008-HD022-01,,,HOLD,HOLD,S,,NA,NA,NA,I-41/42,SI,NO,NO,
LAHH-002,LS-002,FLD,LS-002,Sup_Digital,CAJA DE DISTRIBUCION CAJADIS-003,ALARMA POR MUY ALTO NIVEL,A2-2007-HD021,,,HOLD,HOLD,DI,Sink 24 VDC,JBI-005,PLC-002,EST-001,,SI,NO,NO,
LAH-004,LS-004,FLD,LS-004,Sup_Digital,TANQUE DE DOSIFICACION DE POLIMEROS T-012,ALARMA ALTO NIVEL,A2-2008-HD018,,,,,DI,Sink 24 VDC,JBI-006,PLC-002,EST-001,,SI,NO,NO,
LAL-004,LS-004,FLD,LS-004,Sup_Digital,TANQUE DE DOSIFICACION DE POLIMEROS T-012,ALARMA BAJO NIVEL,A2-2008-HD018,,,,,DI,Sink 24 VDC,JBI-006,PLC-002,EST-001,,SI,NO,NO,
LALL-004,LS-004,FLD,LS-004,Sup_Digital,TANQUE DE DOSIFICACION DE POLIMEROS T-012,ALARMA MUY BAJO NIVEL,A2-2008-HD018,,,,,DI,Sink 24 VDC,JBI-006,PLC-002,EST-001,I-34/35/36,SI,NO,NO,
LAH-005,LS-005,FLD,LS-005,Sup_Digital,TANQUE DE DOSIFICACION DE POLIMEROS T-013,ALARMA ALTO NIVEL,A2-2008-HD018,,,,,DI,Sink 24 VDC,JBI-006,PLC-002,EST-001,,SI,NO,NO,
LAL-005,LS-005,FLD,LS-005,Sup_Digital,TANQUE DE DOSIFICACION DE POLIMEROS T-013,ALARMA BAJO NIVEL,A2-2008-HD018,,,,,DI,Sink 24 VDC,JBI-006,PLC-002,EST-001,,SI,NO,NO,
LALL-005,LS-005,FLD,LS-005,Sup_Digital,TANQUE DE DOSIFICACION DE POLIMEROS T-013,ALARMA MUY BAJO NIVEL,A2-2008-HD018,,,,,DI,Sink 24 VDC,JBI-006,PLC-002,EST-001,I-34/35/36,SI,NO,NO,
PI-005,PIT-005,FLD,P-005,Sup_Analoga,AGUA RESIDUAL A SUCCION BOM-001,INDICACION DE PRESION,A2-2007-HD020,,,,,AI,4-20 mA,JBI-001,PLC-001,EST-001,,NO,SI,SI,
PALL-005,PIT-005,FLD,P-005,Sup_Analoga,AGUA RESIDUAL A SUCCION BOM-001,ALARMA MUY BAJA PRESION,A2-2007-HD020,,,,,S,,NA,NA,NA,I-02,SI,NO,NO,
PI-006,PIT-006,FLD,P-006,Sup_Analoga,AGUA RESIDUAL A SUCCION BOM-002,INDICACION DE PRESION,A2-2007-HD020,,,,,AI,4-20 mA,JBI-001,PLC-001,EST-001,,NO,SI,SI,
